?,Automated,Date,Date (Days),Date (ISO Week numbers),Downtime date,Downtime Reason,Employee,Employee Qualification,grey,KPI color,Maintenance date,Production Line,Split,Split (string),Split text,Summary visible,Target met,Tech issue date,Work Conditions,# Downtime days,% Availability OEE,% Availability OOE,% challenging,% Defect density,% Downtime Rate,% First Pass Yield (FPY),% Overall Equipment Effectiveness (OEE),% Overall Operations Effectiveness (OOE),% Production Attainment,% Target,% Target (KPI),Between downtime,Between maintenance,Between tech issues,Breaks dim,Breaks time,Color hub,Color hub (copy),Cost - defect Measure,Costs,Costs (copy),Defect Density KPI string,Defect density KPI vl,Defective Units,Difference from target,Difference from target (std),Difference from target Ms,Dim FPY,Dim Run Hours,Dim Throughput / hour,Downtime Hours,Downtime hours cost,Downtime hours TOTAL costs,Downtime time,DR KPI string,DR KPI vl,Good Units dim,Hub,Hub (label),Int iso weeks,KPI Point 1,KPI Point 2,KPI Point 3,KPI Point 4,KPI Point Hub,KPI Point Hub (upper),KPI Point volume,Maintenance time,Maintenance time dim,OEE KPI string,OEE KPI vl,Other issue time,Performance,Planned - downtime time,Planned time,Planned Units,Point -0.7,Point -1,Point -1 (blank),Point 1,Produced Units,Production Attainment KPI string,Production Attainment KPI vl,Production KPI string,Production KPI vl,Production volume,Production volume dim,Profit | good units,Profit | Max theoretical,Profit | net,Profit | net %,Raw Material Shortage time,Run time ([Planned time] - [Downtime time] - [Breaks time]),Scheduled time ([Planned time] - [Breaks] ),Scheduled time ([Planned time] - [Breaks] - [Maintenance time]),Scheduled time dim,Target met (reg),Target met (reg) KPI,Tech issue time,Tech issue time dim,Theoretical run rate,Throughput / hour,Wasted hours other reason dim
?,True,1/11/2023,"January 11, 2023",2023 W2,,Other,Owen Taylor,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,0.0%,0%,100%,57%,50%,0%,-20%,80.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-20,0,-20,1,,,,0,,0, better than target,3,80,80,80,44933,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,7.857142857,,0.571428571,8,8,100,Point,Point,Point,Point,80, worse than critical,40, worse than target,20,80,80,8000,14000,,,,7,7,7,,False,False,,,,11.428571429,0
?,True,1/12/2023,"January 12, 2023",2023 W2,,Tech Issue,Zoe Martinez,6,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,1.0%,0%,99%,71%,63%,100%,+1.0%,101.0%,,,,1,1, better than target,( better than target ),80,,, better than target,2.009900990,1,1,0,1,0.990099010,,,,0,,0, better than target,3,100,101,101,44933,Point,Point,Point,Point,Point,Point,Point,0,, better than target,6.428571429,,0.721428571,8,8,100,Point,Point,Point,Point,101, better than target,40, better than target,1,101,101,10000,14000,,,,7,7,7,,True,True,,,,14.428571429,0
?,True,1/13/2023,"January 13, 2023",2023 W2,,Other,Zoe Martinez,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,0.0%,0%,100%,65%,57%,0%,-09%,91.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-9,0,-9,1,,,,0,,0, better than target,3,91,91,91,44933,Point,Point,Point,Point,Point,Point,Point,0,, better than target,0,,0.65,8,8,100,Point,Point,Point,Point,91, worse than critical,40, worse than target,9,91,91,9100,14000,,,,7,7,7,,False,False,,,,13,0
?,True,1/14/2023,"January 14, 2023",2023 W2,,Other,Eli Brown,3,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,3.8%,0%,96%,73%,64%,100%,+6.0%,106.0%,,,,1,1, better than target,( better than target ),320,,, worse than target,0.773584906,4,6,0,6,0.962264151,,,,0,,0, better than target,3,102,106,106,44933,Point,Point,Point,Point,Point,Point,Point,0,, better than target,7.857142857,,0.757142857,8,8,100,Point,Point,Point,Point,106, better than target,40, better than target,6.000000000,106,106,10200,14000,,,,7,7,7,,True,True,,,,15.142857143,0
?,True,1/15/2023,"January 15, 2023",2023 W2,1/15/2023,Other,Max Parker,3,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,1,86%,75%,100%,3.6%,13%,96%,76%,67%,100%,+11.0%,111.0%,1,,,1,1, better than target,( better than target ),320,2720,2720, worse than target,0.603603604,4,11,0,11,0.963963964,6,18.5,1,2200,2400,1, worse than critical,5.5,107,111,111,44933,Point,Point,Point,Point,Point,Point,Point,0,, better than target,11.428571429,1,0.925,7,8,100,Point,Point,Point,Point,111, better than target,40, better than target,11,111,111,10700,14000,7980,57%,0,6,7,7,,True,True,0,,,18.5,1
?,True,1/16/2023,"January 16, 2023",2023 W3,,Tech Issue,Luna Garcia,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,0.0%,0%,100%,58%,51%,0%,-19%,81.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-19,0,-19,1,,,,0,,0, better than target,3,81,81,81,44940,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,7.142857143,,0.578571429,8,8,100,Point,Point,Point,Point,81, worse than critical,40, worse than target,19,81,81,8100,14000,,,,7,7,7,,False,False,,,,11.571428571,0
?,True,1/17/2023,"January 17, 2023",2023 W3,,Other,Mia Smith,8,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,2.0%,0%,98%,69%,61%,0%,-01%,99.0%,,,,1,1, worse than target,( worse than target ),160,,, better than target,0.979797980,2,-1,0,-1,0.979797980,,,,0,,0, better than target,3,97,99,99,44940,Point,Point,Point,Point,Point,Point,Point,0,, better than target,4.285714286,,0.707142857,8,8,100,Point,Point,Point,Point,99, worse than critical,40, worse than target,1,99,99,9700,14000,,,,7,7,7,,False,False,,,,14.142857143,0
?,True,1/18/2023,"January 18, 2023",2023 W3,,Tech Issue,Luna Garcia,6,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,1.2%,0%,99%,59%,51%,0%,-17%,83.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.795180723,1,-17,0,-17,0.987951807,,,,0,,0, better than target,3,82,83,83,44940,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,6.428571429,,0.592857143,8,8,100,Point,Point,Point,Point,83, worse than critical,40, worse than target,17,83,83,8200,14000,,,,7,7,7,,False,False,,,,11.857142857,0
?,True,1/19/2023,"January 19, 2023",2023 W3,1/19/2023,Other,Max Parker,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Challenging,1,71%,63%,100%,3.1%,25%,97%,68%,59%,0%,-02%,98.0%,1,,,1,1, worse than target,( worse than target ),240,4040,4040, worse than target,0.061224490,3,-2,0,-2,0.969387755,5,19.6,2,3400,3800,2, worse than critical,18,95,98,98,44940,Point,Point,Point,Point,Point,Point,Point,0,, better than target,2.857142857,2,0.98,6,8,100,Point,Point,Point,Point,98, worse than critical,40, worse than target,2,98,98,9500,14000,5460,39%,0,5,7,7,,False,False,0,,,19.6,2
?,True,1/20/2023,"January 20, 2023",2023 W3,,Maintenance,Luna Garcia,9,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,1.0%,0%,99%,69%,61%,0%,-02%,98.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.979591837,1,-2,0,-2,0.989795918,,,,0,,0, better than target,3,97,98,98,44940,Point,Point,Point,Point,Point,Point,Point,0,, better than target,4.285714286,,0.7,8,8,100,Point,Point,Point,Point,98, worse than critical,40, worse than target,2,98,98,9700,14000,,,,7,7,7,,False,False,,,,14,0
?,True,1/21/2023,"January 21, 2023",2023 W3,,Maintenance,Zoe Martinez,5,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,0.0%,0%,100%,82%,72%,100%,+15.0%,115.0%,,,,1,1, better than target,( better than target ),0,,, better than target,3,0,15,0,15,1,,,,0,,0, better than target,3,115,115,115,44940,Point,Point,Point,Point,Point,Point,Point,0,, better than target,17.142857143,,0.821428571,8,8,100,Point,Point,Point,Point,115, better than target,40, better than target,15,115,115,11500,14000,,,,7,7,7,,True,True,,,,16.428571429,0
?,True,1/22/2023,"January 22, 2023",2023 W3,,Maintenance,Mia Smith,5,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,0.0%,0%,100%,66%,58%,0%,-08%,92.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-8,0,-8,1,,,,0,,0, better than target,3,92,92,92,44940,Point,Point,Point,Point,Point,Point,Point,0,, better than target,0.714285714,,0.657142857,8,8,100,Point,Point,Point,Point,92, worse than critical,40, worse than target,8,92,92,9200,14000,,,,7,7,7,,False,False,,,,13.142857143,0
?,True,1/23/2023,"January 23, 2023",2023 W4,,Material Shortage,Zoe Martinez,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,1.1%,0%,99%,63%,55%,0%,-11%,89.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.876404494,1,-11,0,-11,0.988764045,,,,0,,0, better than target,3,88,89,89,44947,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,2.142857143,,0.635714286,8,8,100,Point,Point,Point,Point,89, worse than critical,40, worse than target,11,89,89,8800,14000,,,,7,7,7,,False,False,,,,12.714285714,0
?,True,1/24/2023,"January 24, 2023",2023 W4,,Other,Ava White,1,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,0.0%,0%,100%,75%,66%,100%,+5.0%,105.0%,,,,1,1, better than target,( better than target ),0,,, better than target,3,0,5,0,5,1,,,,0,,0, better than target,3,105,105,105,44947,Point,Point,Point,Point,Point,Point,Point,0,, better than target,10,,0.75,8,8,100,Point,Point,Point,Point,105, better than target,40, better than target,5,105,105,10500,14000,,,,7,7,7,,True,True,,,,15,0
?,True,1/25/2023,"January 25, 2023",2023 W4,,Maintenance,Ava White,6,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,3.6%,0%,96%,57%,50%,0%,-17%,83.0%,,,,1,1, worse than target,( worse than target ),240,,, worse than target,0.614457831,3,-17,0,-17,0.963855422,,,,0,,0, better than target,3,80,83,83,44947,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,7.857142857,,0.592857143,8,8,100,Point,Point,Point,Point,83, worse than critical,40, worse than target,17,83,83,8000,14000,,,,7,7,7,,False,False,,,,11.857142857,0
?,True,1/26/2023,"January 26, 2023",2023 W4,,Other,Mia Smith,3,grey,color,,Line 1 (auto),Total,Total,,True,False,,Challenging,0,100%,88%,100%,1.2%,0%,99%,59%,52%,0%,-16%,84.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.809523810,1,-16,0,-16,0.988095238,,,,0,,0, better than target,3,83,84,84,44947,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,5.714285714,,0.6,8,8,100,Point,Point,Point,Point,84, worse than critical,40, worse than target,16,84,84,8300,14000,,,,7,7,7,,False,False,,,,12,0
?,True,1/27/2023,"January 27, 2023",2023 W4,,Tech Issue,Max Parker,3,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,2.5%,0%,98%,56%,49%,0%,-20%,80.0%,,,,1,1, worse than target,( worse than target ),160,,, better than target,0.5,2,-20,0,-20,0.975,,,,0,,0, better than target,3,78,80,80,44947,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,9.285714286,,0.571428571,8,8,100,Point,Point,Point,Point,80, worse than critical,40, worse than target,20,80,80,7800,14000,,,,7,7,7,,False,False,,,,11.428571429,0
?,True,1/28/2023,"January 28, 2023",2023 W4,,Other,Leo Johnson,9,grey,color,,Line 1 (auto),Total,Total,,True,False,,Challenging,0,100%,88%,100%,3.1%,0%,97%,66%,58%,0%,-04%,96.0%,,,,1,1, worse than target,( worse than target ),240,,, worse than target,0.125,3,-4,0,-4,0.96875,,,,0,,0, better than target,3,93,96,96,44947,Point,Point,Point,Point,Point,Point,Point,0,, better than target,1.428571429,,0.685714286,8,8,100,Point,Point,Point,Point,96, worse than critical,40, worse than target,4,96,96,9300,14000,,,,7,7,7,,False,False,,,,13.714285714,0
?,True,1/29/2023,"January 29, 2023",2023 W4,,Material Shortage,Ivy Anderson,3,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,1.0%,0%,99%,72%,63%,100%,+2.0%,102.0%,,,,1,1, better than target,( better than target ),80,,, better than target,2.019607843,1,2,0,2,0.990196078,,,,0,,0, better than target,3,101,102,102,44947,Point,Point,Point,Point,Point,Point,Point,0,, better than target,7.142857143,,0.728571429,8,8,100,Point,Point,Point,Point,102, better than target,40, better than target,2,102,102,10100,14000,,,,7,7,7,,True,True,,,,14.571428571,0
?,True,1/30/2023,"January 30, 2023",2023 W5,,Maintenance,Luna Garcia,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,0.0%,0%,100%,71%,62%,0%,-01%,99.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-1,0,-1,1,,,,0,,0, better than target,3,99,99,99,44954,Point,Point,Point,Point,Point,Point,Point,0,, better than target,5.714285714,,0.707142857,8,8,100,Point,Point,Point,Point,99, worse than critical,40, worse than target,1,99,99,9900,14000,,,,7,7,7,,False,False,,,,14.142857143,0
?,True,1/31/2023,"January 31, 2023",2023 W5,,Other,Leo Johnson,8,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,3.4%,0%,97%,61%,53%,0%,-12%,88.0%,,,,1,1, worse than target,( worse than target ),240,,, worse than target,0.409090909,3,-12,0,-12,0.965909091,,,,0,,0, better than target,3,85,88,88,44954,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,4.285714286,,0.628571429,8,8,100,Point,Point,Point,Point,88, worse than critical,40, worse than target,12,88,88,8500,14000,,,,7,7,7,,False,False,,,,12.571428571,0
?,True,2/1/2023,"February 1, 2023",2023 W5,,Maintenance,Ava White,1,grey,color,,Line 1 (auto),Total,Total,,True,False,,Challenging,0,100%,88%,100%,0.0%,0%,100%,69%,60%,0%,-04%,96.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-4,0,-4,1,,,,0,,0, better than target,3,96,96,96,44954,Point,Point,Point,Point,Point,Point,Point,0,, better than target,3.571428571,,0.685714286,8,8,100,Point,Point,Point,Point,96, worse than critical,40, worse than target,4,96,96,9600,14000,,,,7,7,7,,False,False,,,,13.714285714,0
?,True,2/2/2023,"February 2, 2023",2023 W5,,Maintenance,Max Parker,7,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,0.0%,0%,100%,84%,73%,100%,+17.0%,117.0%,,,,1,1, better than target,( better than target ),0,,, better than target,3,0,17,0,17,1,,,,0,,0, better than target,3,117,117,117,44954,Point,Point,Point,Point,Point,Point,Point,0,, better than target,18.571428571,,0.835714286,8,8,100,Point,Point,Point,Point,117, better than target,40, better than target,17,117,117,11700,14000,,,,7,7,7,,True,True,,,,16.714285714,0
?,True,2/3/2023,"February 3, 2023",2023 W5,,Tech Issue,Ava White,2,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,3.8%,0%,96%,72%,63%,100%,+5.0%,105.0%,,,,1,1, better than target,( better than target ),320,,, worse than target,0.809523810,4,5,0,5,0.961904762,,,,0,,0, better than target,3,101,105,105,44954,Point,Point,Point,Point,Point,Point,Point,0,, better than target,7.142857143,,0.75,8,8,100,Point,Point,Point,Point,105, better than target,40, better than target,5,105,105,10100,14000,,,,7,7,7,,True,True,,,,15,0
?,True,2/4/2023,"February 4, 2023",2023 W5,,Tech Issue,Ivy Anderson,2,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,2.4%,0%,98%,59%,52%,0%,-15%,85.0%,,,,1,1, worse than target,( worse than target ),160,,, better than target,0.647058824,2,-15,0,-15,0.976470588,,,,0,,0, better than target,3,83,85,85,44954,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,5.714285714,,0.607142857,8,8,100,Point,Point,Point,Point,85, worse than critical,40, worse than target,15,85,85,8300,14000,,,,7,7,7,,False,False,,,,12.142857143,0
?,True,2/5/2023,"February 5, 2023",2023 W5,2/5/2023,Maintenance,Leo Johnson,4,grey,color,2/5/2023,Line 1 (auto),Total,Total,,True,False,,Normal,1,100%,63%,0%,1.2%,25%,99%,85%,53%,0%,-14%,86.0%,1,1,,1,1, worse than target,( worse than target ),80,7480,7480, better than target,1.837209302,1,-14,0,-14,0.988372093,5,17.2,2,3400,7400,2, worse than critical,18,85,86,86,44954,Point,Point,Point,Point,Point,Point,Point,2,2, better than target,20,0,0.86,6,8,100,Point,Point,Point,Point,86, worse than critical,40, worse than target,14,86,86,8500,14000,1020,7%,0,5,7,5,5,False,False,0,,20,17.2,0
?,True,2/6/2023,"February 6, 2023",2023 W6,,Material Shortage,Mia Smith,9,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,1.9%,0%,98%,73%,64%,100%,+4.0%,104.0%,,,,1,1, better than target,( better than target ),160,,, better than target,1.076923077,2,4,0,4,0.980769231,,,,0,,0, better than target,3,102,104,104,44961,Point,Point,Point,Point,Point,Point,Point,0,, better than target,7.857142857,,0.742857143,8,8,100,Point,Point,Point,Point,104, better than target,40, better than target,4,104,104,10200,14000,,,,7,7,7,,True,True,,,,14.857142857,0
?,True,2/7/2023,"February 7, 2023",2023 W6,,Other,Leo Johnson,7,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,0.9%,0%,99%,79%,69%,100%,+11.0%,111.0%,,,,1,1, better than target,( better than target ),80,,, better than target,2.099099099,1,11,0,11,0.990990991,,,,0,,0, better than target,3,110,111,111,44961,Point,Point,Point,Point,Point,Point,Point,0,, better than target,13.571428571,,0.792857143,8,8,100,Point,Point,Point,Point,111, better than target,40, better than target,11,111,111,11000,14000,,,,7,7,7,,True,True,,,,15.857142857,0
?,True,2/8/2023,"February 8, 2023",2023 W6,,Tech Issue,Luna Garcia,9,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,2.6%,0%,97%,81%,71%,100%,+16.0%,116.0%,,,,1,1, better than target,( better than target ),240,,, better than target,0.413793103,3,16,0,16,0.974137931,,,,0,,0, better than target,3,113,116,116,44961,Point,Point,Point,Point,Point,Point,Point,0,, better than target,15.714285714,,0.828571429,8,8,100,Point,Point,Point,Point,116, better than target,40, better than target,16,116,116,11300,14000,,,,7,7,7,,True,True,,,,16.571428571,0
?,True,2/9/2023,"February 9, 2023",2023 W6,2/9/2023,Tech Issue,Luna Garcia,6,grey,color,,Line 1 (auto),Total,Total,,True,True,2/9/2023,Challenging,1,86%,75%,100%,2.5%,13%,97%,82%,72%,100%,+18.0%,118.0%,1,,1,1,1, better than target,( better than target ),240,6440,6440, better than target,0.457627119,3,18,0,18,0.974576271,6,19.666666667,1,2200,6200,1, worse than critical,5.5,115,118,118,44961,Point,Point,Point,Point,Point,Point,Point,0,, better than target,17.142857143,0,0.983333333,7,8,100,Point,Point,Point,Point,118, better than target,40, better than target,18,118,118,11500,14000,5060,36%,0,6,7,7,,True,True,1,1,,19.666666667,1
?,True,2/10/2023,"February 10, 2023",2023 W6,,Other,Owen Taylor,4,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,2.7%,0%,97%,77%,68%,100%,+11.0%,111.0%,,,,1,1, better than target,( better than target ),240,,, better than target,0.297297297,3,11,0,11,0.972972973,,,,0,,0, better than target,3,108,111,111,44961,Point,Point,Point,Point,Point,Point,Point,0,, better than target,12.142857143,,0.792857143,8,8,100,Point,Point,Point,Point,111, better than target,40, better than target,11,111,111,10800,14000,,,,7,7,7,,True,True,,,,15.857142857,0
